date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:26	30414/30414	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2012:41:32%20GMT	https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/demos.creative-tim.com/bs3/material-kit-pro/presentation.html	(from )
20:17:27	2159/2159	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20May%202023%2019:17:27%20GMT	https://demos.creative-tim.com/robots.txt		(from )
20:17:28	2446/2446	---M--	200	added ('OK')	image/png	etag:%225f85a07c-98e%22	https://demos.creative-tim.com/bs3/material-kit-pro/assets/img/apple-icon.png	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/demos.creative-tim.com/bs3/material-kit-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html)
20:17:28	2761/2761	---M--	200	added ('OK')	image/png	etag:%225f85a07c-ac9%22	https://demos.creative-tim.com/bs3/material-kit-pro/assets/img/favicon.png	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/demos.creative-tim.com/bs3/material-kit-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html)
20:17:29	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:56%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html)
20:17:31	109092/109092	---M-Z	200	added ('OK')	text/css	etag:W/%225f85a07c-1aa24%22	https://demos.creative-tim.com/bs3/material-kit-pro/assets/css/bootstrap.min.css	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/demos.creative-tim.com/bs3/material-kit-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html)
20:17:31	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2001%20May%202023%2019:17:30%20GMT	https://s3.amazonaws.com/creativetim_bucket/products/46/original/opt_mkp_thumbnail.jpg	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/s3.amazonaws.com/creativetim_bucket/products/46/original/opt_mkp_thumbnail.5.delayed	(from https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html)
20:17:33	199812/199812	---MCZ	200	added ('OK')	text/css	etag:W/%225f85a07c-3ba92%22	https://demos.creative-tim.com/bs3/material-kit-pro/assets/css/material-kit.css?v=1.2.1	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/demos.creative-tim.com/bs3/material-kit-pro/assets/css/material-kit23cd.css	(from https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html)
20:17:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20May%202023%2019:17:33%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/www.googletagmanager.com/gtm.75445.delayed	(from https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html)
20:17:34	122842/122842	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Oct%202020%2012:41:32%20GMT	https://demos.creative-tim.com/bs3/material-kit-pro/index.html	C:/Users/kittie/OneDrive/Desktop/miaouuuuuu/demos.creative-tim.com/bs3/material-kit-pro/index.html	(from https://demos.creative-tim.com/bs3/material-kit-pro/presentation.html)
